dt,rank,point
630332.8239859999,26908.0,9390.0
630332.814014,26909.0,9390.0
630332.807033,26910.0,9390.0
630064.442672,21628.0,17970.0
630064.431703,21629.0,17970.0
630064.423725,21630.0,17966.0
629482.190014,18173.0,26355.0
629482.1820350001,18174.0,26355.0
629482.174057,18175.0,26352.0
629146.1610600001,15766.0,34200.0
629146.153082,15767.0,34200.0
629146.145103,15768.0,34192.0
628839.303158,13667.0,43560.0
628839.2931850001,13668.0,43560.0
628839.2852060001,13669.0,43558.0
628600.666137,11942.0,52920.0
628600.657161,11943.0,52920.0
628600.649183,11944.0,52919.0
457675.280088,17756.0,52920.0
457675.267104,17757.0,52920.0
457675.25814700004,17758.0,52910.0
457416.96465,16201.0,61650.0
457416.956672,16202.0,61650.0
457416.948693,16203.0,61635.0
457024.900074,14913.0,70200.0
457024.890101,14914.0,70200.0
457024.88112399995,14915.0,70190.0
456570.240753,13795.0,78590.0
456570.23078000004,13796.0,78585.0
456570.222801,13797.0,78570.0
456146.749351,12807.0,86920.0
456146.735387,12808.0,86910.0
456146.72739799996,12809.0,86903.0
455839.425541,11866.0,96155.0
455839.416564,11867.0,96150.0
455839.407588,11868.0,96146.0
455566.5340310001,11053.0,104985.0
455566.523062,11054.0,104985.0
455566.515083,11055.0,104982.0
198564.5649,16066.0,104990.0
198564.549942,16067.0,104985.0
198564.540965,16068.0,104985.0
198291.848559,15295.0,112875.0
198291.837589,15296.0,112875.0
198291.827617,15297.0,112848.0
197733.218743,14548.0,121830.0
197733.204781,14549.0,121828.0
197733.195805,14550.0,121825.0
197416.997071,13914.0,129645.0
197416.983108,13915.0,129645.0
197416.974132,13916.0,129635.0
197152.714958,13286.0,139069.0
197152.70398599998,13287.0,139065.0
197152.69501,13288.0,139055.0
196858.02309,12818.0,147270.0
196858.011122,12819.0,147270.0
196858.002146,12820.0,147256.0
196572.716234,11724.0,155115.0
196572.702272,11725.0,155115.0
196572.692298,11726.0,155086.0
196312.055455,10874.0,163970.0
196312.041493,10875.0,163950.0
196312.032516,10876.0,163945.0
195986.96267,10295.0,172786.0
195986.951699,10296.0,172785.0
195986.942723,10297.0,172755.0
195466.358255,9771.0,181530.0
195466.346288,9772.0,181455.0
195466.336313,9773.0,181452.0
195213.567427,9327.0,190125.0
195213.55545699998,9328.0,190125.0
195213.545484,9329.0,190114.0
25786.059827,11189.0,190134.0
25786.045864,11190.0,190125.0
25786.036888,11191.0,190079.0
25508.161678,10792.0,198740.0
25508.151705,10793.0,198735.0
25508.142729,10794.0,198722.0
24529.541363999997,10034.0,216075.0
24529.528398,10035.0,216075.0
24529.520419,10036.0,216044.0
24224.553758,9633.0,224700.0
24224.542788,9634.0,224685.0
24224.533811,9635.0,224680.0
23960.617726,9271.0,233310.0
23960.60476,9272.0,233265.0
23960.595784,9273.0,233200.0
23728.255705,8918.0,242065.0
23728.244734,8919.0,242025.0
23728.236757,8920.0,242011.0
0.0,9334.0,242065.0
0.0,9335.0,242025.0
0.0,9336.0,242021.0
